,locucion_c
0,¿Y por qué tienes un bebé?
1,"Cielo santo, sí. Me encantaría ser el entrenador del equipo de sarcasmo bol"
2,"Si nos pasa algo a los dos, ¿quién se hará cargo de la niña?"
3,"Stanley, solo busca tus cosas y nos vamos a casa"
4,"Ah, sí esto podría funcionar"
5,Más de la de la terraza
6,Quería toda su atención
7,¿Solo Bourbon?
8,"No conozco a tal Lana, pero"
9,Porque pusiste en peligro su misión
10,"Iba a decir, era dos de dos chicos"
11,"¿En serio? ¿Cree que hay una relación entre el sarcasmo y el sarcasmo bol de verdad? ¡Qué fascinante, continúe por favor!"
12,Esta corbata cuesta seis mil dólares
13,Yo qué sé que en la miente. Y ya ha venido un tal señor Ley para verla
14,"Hola, chicos"
15,¿Ya la cerramos con llave?
16,¿Cómo que está vacía?
17,"No se parece nada a su perfil con todo lo que se cuenta del caballero que es, pero le digo una cosa, Barak lo entiende"
18,¿Mi?
19,¿Qué? Eso le costó a mi abuelo seis mil dólares. Los diamantes son auténticos
20,¿Eso qué es?
21,"Sí, se lo dije, estuve mirándolo todo el día"
22,"¿Y Cheryl, qué?"
23,"Sería dejarle ciego, pobrecito"
24,"Ah, vale"
25,¿Puedo decirle una cosa antes de que me mate a golpes?
26,Yo no te jodo
27,"Lo lamentamos Stanley, no queremos que sigas jugando a este deporte"
28,"No, no, no, claro que no"
29,"¿Qué te importa, Lana?"
30,"Brandy, algo te ha ocurrido. ¿No puedes dejar de ser sarcástico?"
31,"Sí, pues claro"
32,"¡Vamos, Broncos, vamos!"
33,"¿Y creemos que North va a llevarse la victoria solo porque son más amables que nosotros? La amabilidad, la llevamos adentro. Cuando el enemigo sea amable, nosotros le devolvemos la amabilidad. Si nos dan dos calvos, les damos tres."
34,"Sí, pero "
35,"No, no, usted me jode. ¡Al carajo!"
36,Así que tenemos que ir a la armería
37,Bueno vale
38,¿Oh?
39,Intentan joderme con su negocio paralelo
40,¿Qué?
41,Ya y
42,"¿Cómo se soluciona, doctor?"
43,"Son nuevos tiempos, una nueva era de ciencia que solo pocos comprendemos"
44,"Bueno, papá, fue un placer volver a verte. Nos quedaríamos a cenar, pero esta comida le provoca diarrea a Sharon"
45,"¿Juegas duro? ¿Necesitas una bebida deportiva que te dé más energía? Los deportes de hoy son para gente amable, así que mejora tu desempeño con jugo cremoso de Cutters. Estarás lleno de buenos sentimientos y serás más gentil que un rayo de sol"
46,"Cuando estoy agotado, es el único que me hace subir la compasión. Ahora de vuelta al campo"
47,¿Qué haces Ley?
48,¿Qué?
49,"Para tu información Civil, no necesito ayuda con AJ porque"
50,No quiero que bebas nada
51,"¿Espera, qué?"
52,Deberíamos echar un ojo
53,Espero no tener que llegar hasta eso
54,"Y oye, llámame si no te va bien con la cría"
55,"¡Tu puta madre, me has disparado!"
56,Y por venganza. ¿Te acuerdas cómo me arrancaste la mano?
57,"Oye, nos vamos en cinco minutos"
58,"Ay, madre, muy bueno, por un momento me lo he tragado"
59,"¡Sí, vamos a hablar de confianza!"
60,"¿Espera, hablas urdu?"
61,"¡Ah, miren eso! Una corbata de cordón. ¿No es hermosa, Stan?"
62,¿Eso cuesta tanto?
63,Bueno
64,"Protesto por el término canguro, porque claramente no soy un bebé"
65,Pásalo bien y saluda a tu vida animal
66,He tenido un bebé
67,"Espera, literalmente no, pero muchas"
68,Eso también
69,"No, amigo, es genial"
70,Qué buen golpe. Recuérdenlo en la práctica mañana
71,No me parece el momento para hablar de eso
72,"Bueno, puede… Aunque tiene mala pinta"
73,Archero
74,"Yo qué sé, digo yo qué será"
75,¿Feliz? ¡Contentísimo! Mire lo mucho que mejoró esto
76,No sé qué puedo hacer. Los niños comienzan a burlarse de mí porque no soy bueno en sarcasmo bol. Soy malo siendo gentil. Soy tan malo que pareció una gorda en bikini floreciente en la playa
77,Disculpe
78,"Tengo el globo, el entrenador Marso. ¿Ahora qué hago?"
79,Y creo que llevaré esa
80,Solo intento irme sin ser descortés
81,"Pero, podrías haber conseguido el disco tú solo. ¿Para qué nos has hecho venir?"
82,"Verás cómo... Joder tengo que pasarlo con algo. ¿Has visto AJ? Ha sido una lección sobre algo llamado seguridad de uno mismo. Y al contrario de que te hayan dicho, nunca es de más. Y el burlón. ¿Dónde está el burlón?"
83,"Fue regalo de mi abuelo, sí, y le costó mucho dinero"
84,Ronde?
85,"No estamos ganando mucho, amigos"
86,¿Verdad?
87,¡Boom! ¿Vieron ese golpe?
88,"Ah, papá, oye papá. "
89,No collar de oro con diamantes
90,"¡Sí por los oídos, cállate!"
91,"Porque tengo que herir tus sentimientos, si me pasa algo, y solo a mí Archero, AJ viviría con mis padres"
92,"Bueno, ¿qué tal? ¿Cómo te va?"
93,Sí
94,De las diez dobles
95,Chúpamela
96,¿No está preocupada?
97,"Bueno, no estoy jodiéndola y lo sabe"
98,"¡Sí, soy fanático de todas tus temas de moda!"
99,"Bueno, idiotas. Gracias por ayudarme a pillar el disco. Los rusos me van a dar una pasta ancha por él"
100,"Momento, momento, Sow. ¿Qué mierda es esa?"
101,Lo robó todo. Se estableció en Europa como traficante de armas
102,Quería saber si podía fiarme que te quedarás de AJ tú solo
103,"¿Ya vale, pero las lleva encima? ¿Lleva pipa?"
104,"Vuelvo mañana por la noche, ya verás como me llamarás antes"
105,"¡Moho! ¡Vamos Broncos, vamos! ¡Qué alegría de mierda!"
106,"Ya, a su edad no sé ni para qué se molesta"
107,"Sí, tú sí que has perdido peso Cuenta Sterne o cómo te llames en realidad"
108,"Sí Stan, es lo que quiere la gente. No te preocupes, luces genial."
109,"Sí, no queremos que los niños se lastimen jugando al futbol. Pero creo que tengo un modo de mejorarlo más. ¿Por qué los jugadores no usan sostenes?"
110,"Que, es todo para ella"
111,¿De qué estás hablando?
112,¡Eso no! AJ si nos pasa algo
113,Este sujeto intenta timarnos podemos ir a otro lado
114,"Bueno, no se los pago"
115,"Bien, tengo una idea aún mejor. Tomemos los fondos de investigación de cáncer y enfermedades genéticas, y hagamos comerciales que digan: 'hola, espectadores, quizás el sarcasmo no es algo muy bueno para tu cerebro'."
116,Me busco a una canguro
117,"Archero, no te"
118,No
119,"Y ahora para interpretar el himno del sarcasmo bol, el cantante Ciclo"
